time,precipitation,temperature,irradiance_surface,irradiance_toa,snowfall,snow_mass,cloud_cover,air_density
2015-01-01 00:00:00,1e-04,0.451,0,0,0,0.2781,0.0868,1.1948
2015-01-01 01:00:00,2e-04,0.234,0,0,0,0.2781,0.1135,1.1957
2015-01-01 02:00:00,2e-04,0.129,0,0,0,0.2781,0.127,1.1965
2015-01-01 03:00:00,2e-04,0.08,0,0,0,0.278,0.1154,1.1971
2015-01-01 04:00:00,1e-04,0.042,0,0,0,0.278,0.0984,1.1978
2015-01-01 05:00:00,1e-04,0.013,0,0,0,0.278,0.0701,1.1984
2015-01-01 06:00:00,1e-04,-0.034,0,0,0,0.278,0.0508,1.1992
2015-01-01 07:00:00,1e-04,0.006,8.2013,18.8442,0,0.278,0.0368,1.2001
2015-01-01 08:00:00,0,1.993,116.7115,191.5854,0,0.278,0.0346,1.2003
2015-01-01 09:00:00,0,4.865,268.6201,384.5434,0,0.2768,0.0257,1.1982
2015-01-01 10:00:00,0,7.11,391.8248,527.1001,0,0.2723,0.0182,1.1926
2015-01-01 11:00:00,0,9.009,464.2777,609.4659,0,0.2638,0.0248,1.1852
2015-01-01 12:00:00,0,10.395,478.156,626.0377,0,0.2523,0.0293,1.1785
2015-01-01 13:00:00,0,10.965,433.1534,575.6954,0,0.2409,0.0337,1.1748
2015-01-01 14:00:00,0,10.709,334.0112,461.8748,0,0.2343,0.0398,1.1738
2015-01-01 15:00:00,0,9.067,192.5432,292.3052,0,0.2324,0.0521,1.1746
2015-01-01 16:00:00,0,6.444,46.3673,87.3737,0,0.2322,0.0803,1.1766
2015-01-01 17:00:00,0,4.913,0.9064,2.6582,0,0.2322,0.1064,1.1795
2015-01-01 18:00:00,0,4.28,0.0137,0.07,0,0.2322,0.1441,1.1823
2015-01-01 19:00:00,1e-04,3.764,0,0,0,0.2322,0.1807,1.1845
2015-01-01 20:00:00,2e-04,3.333,0,0,0,0.2322,0.2124,1.1862
2015-01-01 21:00:00,4e-04,2.994,0,0,0,0.2322,0.2179,1.1877
2015-01-01 22:00:00,7e-04,2.696,0,0,0,0.2322,0.2062,1.189
2015-01-01 23:00:00,0.0011,2.468,0,0,0,0.2322,0.2284,1.1899
2015-01-02 00:00:00,0.0013,2.267,0,0,0,0.2322,0.2623,1.1906
2015-01-02 01:00:00,0.0012,2.145,0,0,0,0.2322,0.262,1.1912
2015-01-02 02:00:00,0.0016,2.055,0,0,0,0.2322,0.2576,1.192
2015-01-02 03:00:00,6e-04,1.835,0,0,0,0.2323,0.2084,1.1928
2015-01-02 04:00:00,0.001,1.603,0,0,0,0.2323,0.1555,1.1938
2015-01-02 05:00:00,7e-04,1.46,0,0,0,0.2323,0.1575,1.1947
2015-01-02 06:00:00,4e-04,1.384,0,0,0,0.2323,0.1996,1.1957
2015-01-02 07:00:00,1e-04,1.428,8.5256,19.3401,0,0.2323,0.2633,1.1966
2015-01-02 08:00:00,8e-04,3.252,110.9891,193.0919,0,0.2322,0.331,1.1969
2015-01-02 09:00:00,0.0048,6.015,247.9483,386.1798,0,0.2311,0.4081,1.1952
2015-01-02 10:00:00,0.0063,8.16,356.4524,528.8226,0,0.2268,0.4773,1.1905
2015-01-02 11:00:00,0.0025,9.974,418.7002,611.2483,0,0.2138,0.553,1.1837
2015-01-02 12:00:00,7e-04,11.232,424.6923,627.8524,0,0.1958,0.6236,1.1777
2015-01-02 13:00:00,3e-04,11.751,376.3247,577.4908,0,0.1839,0.689,1.1741
2015-01-02 14:00:00,0,11.439,281.5842,463.5878,0,0.1774,0.7391,1.173
2015-01-02 15:00:00,0,9.975,155.4486,293.9237,0,0.1759,0.7658,1.1735
2015-01-02 16:00:00,0,7.875,36.852,88.578,0,0.1758,0.7759,1.175
2015-01-02 17:00:00,0,6.688,0.9904,2.6976,0,0.1758,0.7764,1.1772
2015-01-02 18:00:00,0,6.19,0.017,0.0723,0,0.1757,0.7542,1.1791
2015-01-02 19:00:00,0,5.762,0,0,0,0.1757,0.7075,1.1805
2015-01-02 20:00:00,0,5.378,0,0,0,0.1757,0.6407,1.1815
2015-01-02 21:00:00,0,4.979,0,0,0,0.1756,0.5302,1.1825
2015-01-02 22:00:00,0,4.531,0,0,0,0.1756,0.3963,1.1835
2015-01-02 23:00:00,0,4.145,0,0,0,0.1756,0.3011,1.1844
2015-01-03 00:00:00,0,3.835,0,0,0,0.1756,0.2122,1.1851
2015-01-03 01:00:00,1e-04,3.606,0,0,0,0.1756,0.1442,1.1858
2015-01-03 02:00:00,1e-04,3.453,0,0,0,0.1756,0.123,1.1867
2015-01-03 03:00:00,1e-04,3.334,0,0,0,0.1756,0.1562,1.1873
2015-01-03 04:00:00,0,3.218,0,0,0,0.1756,0.2119,1.1878
2015-01-03 05:00:00,0,3.132,0,0,0,0.1756,0.2893,1.1882
2015-01-03 06:00:00,0,3.054,0,0,0,0.1756,0.3796,1.1888
2015-01-03 07:00:00,0,3.087,8.5957,19.8907,0,0.1756,0.4329,1.1894
2015-01-03 08:00:00,0,4.77,114.1082,194.7363,0,0.1755,0.4082,1.1894
2015-01-03 09:00:00,1e-04,7.671,261.1128,387.9651,0,0.1722,0.3332,1.1878
2015-01-03 10:00:00,1e-04,9.815,382.2885,530.7106,0,0.1603,0.2722,1.1834
2015-01-03 11:00:00,1e-04,11.767,453.8222,613.1979,0,0.1452,0.2648,1.1757
2015-01-03 12:00:00,1e-04,13.311,469.2874,629.8129,0,0.1304,0.2905,1.1684
2015-01-03 13:00:00,0,13.97,425.971,579.4143,0,0.1182,0.3201,1.164
2015-01-03 14:00:00,0,13.674,328.7694,465.4504,0,0.11,0.3312,1.1627
2015-01-03 15:00:00,0,11.926,190.2169,295.683,0,0.1069,0.3187,1.1637
2015-01-03 16:00:00,0,9.142,47.174,89.8984,0,0.1066,0.2651,1.1662
2015-01-03 17:00:00,1e-04,7.522,1.2883,2.742,0,0.1066,0.1785,1.1696
2015-01-03 18:00:00,1e-04,6.765,0.021,0.0748,0,0.1066,0.1022,1.1726
2015-01-03 19:00:00,2e-04,6.17,0,0,0,0.1066,0.0623,1.1752
2015-01-03 20:00:00,3e-04,5.671,0,0,0,0.1066,0.0552,1.1772
2015-01-03 21:00:00,3e-04,5.307,0,0,0,0.1066,0.0654,1.1788
2015-01-03 22:00:00,3e-04,5.017,0,0,0,0.1065,0.0692,1.18
2015-01-03 23:00:00,3e-04,4.71,0,0,0,0.1058,0.0771,1.181
2015-01-04 00:00:00,4e-04,4.401,0,0,0,0.1044,0.0843,1.1819
2015-01-04 01:00:00,6e-04,4.113,0,0,0,0.1025,0.0891,1.1827
2015-01-04 02:00:00,0.0012,3.897,0,0,0,0.1009,0.0893,1.1837
2015-01-04 03:00:00,0.0021,3.649,0,0,0,0.0998,0.0908,1.1845
2015-01-04 04:00:00,0.0028,3.412,0,0,0,0.0992,0.0995,1.1853
2015-01-04 05:00:00,0.0032,3.25,0,0,1e-04,0.0984,0.1148,1.1859
2015-01-04 06:00:00,0.0032,3.148,0,0,2e-04,0.0973,0.1438,1.1865
2015-01-04 07:00:00,0.003,3.179,8.4194,20.4995,2e-04,0.0961,0.17,1.1869
2015-01-04 08:00:00,0.0026,4.973,107.0699,196.5183,1e-04,0.0945,0.161,1.1867
2015-01-04 09:00:00,0.002,7.876,241.9471,389.8946,0,0.0915,0.1471,1.1841
2015-01-04 10:00:00,0.0014,10.027,352.0708,532.7433,0,0.0871,0.1368,1.1783
2015-01-04 11:00:00,0.0011,12.079,424.3364,615.2936,1e-04,0.081,0.0999,1.1699
2015-01-04 12:00:00,9e-04,13.648,451.7146,631.9417,0,0.074,0.0664,1.1624
2015-01-04 13:00:00,8e-04,14.37,416.1128,581.5118,0,0.0678,0.0537,1.1579
2015-01-04 14:00:00,8e-04,14.265,324.4875,467.4699,0,0.064,0.0475,1.1563
2015-01-04 15:00:00,7e-04,12.805,189.4528,297.5833,0,0.0629,0.054,1.1572
2015-01-04 16:00:00,8e-04,9.798,47.6797,91.3369,2e-04,0.063,0.059,1.1602
2015-01-04 17:00:00,7e-04,7.938,1.3192,2.7928,2e-04,0.0632,0.0585,1.1643
2015-01-04 18:00:00,2e-04,7.068,0.0218,0.0776,0,0.0633,0.062,1.1682
2015-01-04 19:00:00,2e-04,6.328,0,0,0,0.0634,0.079,1.1713
2015-01-04 20:00:00,2e-04,5.753,0,0,0,0.0634,0.1003,1.1737
2015-01-04 21:00:00,1e-04,5.358,0,0,0,0.0634,0.1303,1.1754
2015-01-04 22:00:00,1e-04,5.125,0,0,0,0.0634,0.159,1.1767
2015-01-04 23:00:00,1e-04,4.951,0,0,0,0.0634,0.1788,1.1777
2015-01-05 00:00:00,1e-04,4.674,0,0,0,0.0634,0.1949,1.1785
2015-01-05 01:00:00,1e-04,4.433,0,0,0,0.0634,0.2071,1.1794
2015-01-05 02:00:00,1e-04,4.184,0,0,0,0.0634,0.2017,1.1802
2015-01-05 03:00:00,1e-04,3.915,0,0,0,0.0634,0.1997,1.1809
2015-01-05 04:00:00,1e-04,3.685,0,0,0,0.0634,0.1939,1.1815
2015-01-05 05:00:00,2e-04,3.476,0,0,0,0.0634,0.1896,1.1821
2015-01-05 06:00:00,1e-04,3.313,0,0,0,0.0634,0.1876,1.1827
2015-01-05 07:00:00,1e-04,3.205,8.8343,21.1673,0,0.0634,0.1832,1.1833
2015-01-05 08:00:00,1e-04,4.709,110.1671,198.442,0,0.0634,0.1683,1.1834
2015-01-05 09:00:00,1e-04,7.337,252.3147,391.9702,0,0.0626,0.1197,1.1816
2015-01-05 10:00:00,1e-04,9.353,375.7917,534.936,0,0.0587,0.0697,1.176
2015-01-05 11:00:00,1e-04,11.311,453.1088,617.5587,0,0.0534,0.0472,1.1681
2015-01-05 12:00:00,1e-04,12.736,471.5083,634.2101,0,0.0479,0.0443,1.1614
