,reward,v_violations,i_violations,losses,demand,T,tau,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6
0,-19.777787181433194,0.1905624197772564,0.4150165181154533,0.3065286855921004,25385.0,16,6,100,1,1,1,1000,1000
1,-14.2321375861203,0.13642713030050202,0.31099323642718174,0.27843131964291623,24426.609054785735,16,6,100,1,1,1,1000,1000
2,-3.664546045387074,0.04612147769582753,0.1435245590105113,0.2360280551536428,22734.0,16,6,100,1,1,1,1000,1000
3,-0.20499174538625473,0.0,0.002485101588566323,0.2025066437976884,21286.000000000004,16,6,100,1,1,1,1000,1000
4,-0.1816654712060464,0.0,0.0,0.1816654712060464,20264.000000000004,16,6,100,1,1,1,1000,1000
5,-89.39335615566361,0.0,0.0,0.17524658419491299,19905.000000000004,16,6,100,1,1,1,1000,1000
6,-0.17736646099288264,0.0,0.0,0.17736646099288264,20010.0,16,6,100,1,1,1,1000,1000
7,-0.1847881499107163,0.0,0.0,0.1847881499107163,20377.000000000004,16,6,100,1,1,1,1000,1000
8,-0.17686690940679392,0.0,0.0,0.17686690940679392,20094.000000000007,16,6,100,1,1,1,1000,1000
9,-0.11931219711044022,0.0,0.0,0.11931219711044022,20637.000000000004,16,6,100,1,1,1,1000,1000
10,-0.054597212756943514,0.0,0.0,0.054597212756943514,22250.000000000007,16,6,100,1,1,1,1000,1000
11,-0.026095892835138794,0.0,0.0,0.026095892835138794,23547.000000000007,16,6,100,1,1,1,1000,1000
12,-0.02347541745287834,0.0,0.0,0.02347541745287834,24133.000000000004,16,6,100,1,1,1,1000,1000
13,-0.024946453469855374,0.0,0.0,0.024946453469855374,24713.000000000007,16,6,100,1,1,1,1000,1000
14,-0.024758814737929534,0.0,0.0,0.024758814737929534,24672.0,16,6,100,1,1,1,1000,1000
15,-0.022179479737965302,0.0,0.0,0.022179479737965302,23528.000000000007,16,6,100,1,1,1,1000,1000
16,-0.02582054299336114,0.0,0.0,0.02582054299336114,23118.000000000007,16,6,100,1,1,1,1000,1000
