,reward,v_violations,i_violations,losses,demand,T,tau,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6
0,-19.77778718143901,0.1905624197773127,0.4150165181155745,0.3065286855921651,25385.0,16,6,100,1,1,1,1000,1000
1,-14.075939079581895,0.134870265895508,0.3105867956795552,0.27832569435154025,24382.0,16,6,100,1,1,1,1000,1000
2,-4.991700383747324,0.04612147769582908,0.14352455901041708,0.2360280551539998,22734.0,16,6,100,1,1,1,1000,1000
3,-0.20499174538664885,0.0,0.0024851015886493146,0.20250664379799954,21286.000000000004,16,6,100,1,1,1,1000,1000
4,-0.18166547120568843,0.0,0.0,0.18166547120568843,20264.000000000004,16,6,100,1,1,1,1000,1000
5,-0.1752465841950364,0.0,0.0,0.1752465841950364,19905.000000000004,16,6,100,1,1,1,1000,1000
6,-0.17736646099300218,0.0,0.0,0.17736646099300218,20010.0,16,6,100,1,1,1,1000,1000
7,-0.18478814991067602,0.0,0.0,0.18478814991067602,20377.000000000004,16,6,100,1,1,1,1000,1000
8,-0.17686690940704922,0.0,0.0,0.17686690940704922,20094.000000000007,16,6,100,1,1,1,1000,1000
9,-0.11931219711095052,0.0,0.0,0.11931219711095052,20637.000000000004,16,6,100,1,1,1,1000,1000
10,-0.05459721275688588,0.0,0.0,0.05459721275688588,22250.000000000007,16,6,100,1,1,1,1000,1000
11,-0.02609589283526195,0.0,0.0,0.02609589283526195,23547.000000000007,16,6,100,1,1,1,1000,1000
12,-0.02347541745308935,0.0,0.0,0.02347541745308935,24133.000000000004,16,6,100,1,1,1,1000,1000
13,-0.024946453469780187,0.0,0.0,0.024946453469780187,24713.000000000007,16,6,100,1,1,1,1000,1000
14,-0.02475881473766764,0.0,0.0,0.02475881473766764,24672.0,16,6,100,1,1,1,1000,1000
15,-0.022179479737965142,0.0,0.0,0.022179479737965142,23528.000000000007,16,6,100,1,1,1,1000,1000
16,-0.0258205429932123,0.0,0.0,0.0258205429932123,23118.000000000007,16,6,100,1,1,1,1000,1000
17,-0.1064309914057375,0.0,0.0,0.1064309914057375,23606.000000000004,16,6,100,1,1,1,1000,1000
18,-19.798834434186997,0.19187389849863645,0.3279275962222623,0.2835169881010881,26447.000000000007,16,6,100,1,1,1,1000,1000
19,-33.69067572426459,0.3267252177274572,0.6446645669873565,0.3734893845315063,28020.0,16,6,100,1,1,1,1000,1000
20,-40.48774773475661,0.39296448667840744,0.7765532263632502,0.4147458405526226,29014.0,16,6,100,1,1,1,1000,1000
21,-44.436270307249565,0.4314290805356926,0.8535417283791022,0.43982052530119914,29571.0,16,6,100,1,1,1,1000,1000
22,-41.07738340115369,0.3986349413706214,0.7936710914038,0.42021817268774414,29031.000000000004,16,6,100,1,1,1,1000,1000
23,-27.876150380321768,0.269676893396254,0.5603965406197414,0.34806450007662415,26798.000000000004,16,6,100,1,1,1,1000,1000
24,-29.523712036331343,0.2857595528280553,0.5907072306042177,0.3570495229215953,27070.000000000004,16,6,100,1,1,1,1000,1000
25,-17.127165252929068,0.16468781036404978,0.36541347995872997,0.2929707365653627,24935.000000000007,16,6,100,1,1,1,1000,1000
26,-7.540358507181493,0.07103463888238326,0.1895535489431539,0.2473410700000128,23214.000000000007,16,6,100,1,1,1,1000,1000
27,-3.9806865638009326,0.036272165684429036,0.12251163657628097,0.23095835878174792,22540.0,16,6,100,1,1,1,1000,1000
28,-2.0246964705137493,0.01725854289288209,0.07836500168129121,0.2204771795442492,22096.000000000004,16,6,100,1,1,1,1000,1000
29,-1.8042125897984669,0.015156813028598948,0.06999877716312625,0.2185325097754459,22066.000000000004,16,6,100,1,1,1,1000,1000
30,-2.728481752464513,0.024090239399112257,0.09504594513577189,0.22441186741751554,22275.000000000007,16,6,100,1,1,1,1000,1000
31,-6.5082589696442525,0.06095091632838001,0.1705311506236096,0.24263618618264174,23025.000000000004,16,6,100,1,1,1,1000,1000
32,-9.185437074401662,0.08729586440637216,0.2046487276863715,0.2512019060780732,23699.0,16,6,100,1,1,1,1000,1000
33,-6.0415323337900055,0.058543180788224736,0.0,0.187214254967532,25834.000000000007,16,6,100,1,1,1,1000,1000
34,-0.10324028311165435,0.0,0.0,0.10324028311165435,27927.000000000007,16,6,100,1,1,1,1000,1000
35,-0.04944778766443008,0.0,0.0,0.04944778766443008,29072.000000000007,16,6,100,1,1,1,1000,1000
36,-0.039523166516592066,0.0,0.0,0.039523166516592066,29071.0,16,6,100,1,1,1,1000,1000
37,-0.04292764785171271,0.0,0.0,0.04292764785171271,29439.000000000007,16,6,100,1,1,1,1000,1000
38,-0.046534110487673905,0.0,0.0,0.046534110487673905,29241.000000000004,16,6,100,1,1,1,1000,1000
39,-0.04349335713873561,0.0,0.0,0.04349335713873561,27973.000000000007,16,6,100,1,1,1,1000,1000
40,-0.05860376369360248,0.0,0.0,0.05860376369360248,27320.000000000007,16,6,100,1,1,1,1000,1000
41,-0.11625379025406234,7.153660302350318e-06,0.0,0.1155384242238273,27156.999999999996,16,6,100,1,1,1,1000,1000
