Timestamp,gen_total,gen_solar,demand,demand_forecast,ir
2015-01-01 00:00:00+01:00,28251.0,49.0,25385.0,26118.0,0.0
2015-01-01 01:00:00+01:00,27818.0,50.0,24382.0,24934.0,0.0
2015-01-01 02:00:00+01:00,26796.0,50.0,22734.0,23515.0,0.0
2015-01-01 03:00:00+01:00,25223.0,50.0,21286.0,22642.0,0.0
2015-01-01 04:00:00+01:00,24620.0,42.0,20264.0,21785.0,0.0
2015-01-01 05:00:00+01:00,24231.0,34.0,19905.0,21441.0,0.0
2015-01-01 06:00:00+01:00,23888.0,34.0,20010.0,21285.0,0.0
2015-01-01 07:00:00+01:00,23434.0,35.0,20377.0,21545.0,8.2013
2015-01-01 08:00:00+01:00,23368.0,54.0,20094.0,21443.0,116.7115
2015-01-01 09:00:00+01:00,24129.0,743.0,20637.0,21560.0,268.6201
2015-01-01 10:00:00+01:00,25332.0,2019.0,22250.0,22824.0,391.8248
2015-01-01 11:00:00+01:00,25743.0,3197.0,23547.0,23720.0,464.2777
2015-01-01 12:00:00+01:00,26343.0,3885.0,24133.0,24180.0,478.156
2015-01-01 13:00:00+01:00,26640.0,4007.0,24713.0,24797.0,433.1534
2015-01-01 14:00:00+01:00,26221.0,3973.0,24672.0,25222.0,334.0112
2015-01-01 15:00:00+01:00,25702.0,3818.0,23528.0,24173.0,192.5432
2015-01-01 16:00:00+01:00,25065.0,3088.0,23118.0,23659.0,46.3673
2015-01-01 17:00:00+01:00,24632.0,1467.0,23606.0,23982.0,0.9064
2015-01-01 18:00:00+01:00,25272.0,404.0,26447.0,26981.0,0.0137
2015-01-01 19:00:00+01:00,27181.0,139.0,28020.0,28515.0,0.0
2015-01-01 20:00:00+01:00,28304.0,100.0,29014.0,30482.0,0.0
2015-01-01 21:00:00+01:00,28973.0,75.0,29571.0,30739.0,0.0
2015-01-01 22:00:00+01:00,28320.0,74.0,29031.0,29756.0,0.0
2015-01-01 23:00:00+01:00,26158.0,56.0,26798.0,27589.0,0.0
2015-01-02 00:00:00+01:00,32138.0,54.0,27070.0,27309.0,0.0
2015-01-02 01:00:00+01:00,31100.0,54.0,24935.0,25397.0,0.0
2015-01-02 02:00:00+01:00,30473.0,54.0,23214.0,23640.0,0.0
2015-01-02 03:00:00+01:00,30745.0,53.0,22540.0,22638.0,0.0
2015-01-02 04:00:00+01:00,30329.0,53.0,22096.0,22238.0,0.0
2015-01-02 05:00:00+01:00,30159.0,63.0,22066.0,22299.0,0.0
2015-01-02 06:00:00+01:00,30384.0,55.0,22275.0,22660.0,0.0
2015-01-02 07:00:00+01:00,30150.0,54.0,23025.0,23449.0,8.5256
2015-01-02 08:00:00+01:00,29760.0,116.0,23699.0,24067.0,110.9891
2015-01-02 09:00:00+01:00,30644.0,1039.0,25834.0,25737.0,247.9483
2015-01-02 10:00:00+01:00,31232.0,2373.0,27927.0,27883.0,356.4524
2015-01-02 11:00:00+01:00,32531.0,3699.0,29072.0,28969.0,418.7002
2015-01-02 12:00:00+01:00,33091.0,4154.0,29071.0,28894.0,424.6923
2015-01-02 13:00:00+01:00,33550.0,4074.0,29439.0,29460.0,376.3247
2015-01-02 14:00:00+01:00,33543.0,3851.0,29241.0,29389.0,281.5842
2015-01-02 15:00:00+01:00,33216.0,3619.0,27973.0,28231.0,155.4486
2015-01-02 16:00:00+01:00,33578.0,3024.0,27320.0,27716.0,36.852
2015-01-02 17:00:00+01:00,33012.0,2053.0,27157.0,27981.0,0.9904
2015-01-02 18:00:00+01:00,31789.0,769.0,29045.0,30136.0,0.017
