,reward,v_violations,i_violations,losses,demand,T,tau,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6
0,-15.388941831703725,0.14815477108414932,0.29756861283299574,0.2758961104557992,24247.643195719447,16,6,100,1,1,1,1000,1000
1,434.2620252016666,0.12202726003193054,0.27371242745195645,0.2691781599857319,23670.512211126723,16,6,100,1,1,1,1000,1000
2,308.78016142211897,0.06926635123066027,0.20289349980566088,0.25074086321245626,22713.81581291923,16,6,100,1,1,1,1000,1000
3,552.4884200090243,0.03915020311973583,0.14428832380605783,0.23603333334549692,21957.877282131143,16,6,100,1,1,1,1000,1000
4,604.1783258593863,0.0010207093002463363,0.0637603261815535,0.2170001109700656,20773.271929499377,16,6,100,1,1,1,1000,1000
5,447.2600113662472,0.0,0.01646581288772225,0.20605143637961762,20098.976956552076,16,6,100,1,1,1,1000,1000
6,434.4714884088368,0.0,0.0,0.19597489377550623,20111.5863734665,16,6,100,1,1,1,1000,1000
7,454.0746697647198,0.0,0.0,0.18914134673042376,20258.498011154432,16,6,100,1,1,1,1000,1000
8,483.1046982304512,0.0,0.0,0.1847772105277712,20134.633959508086,16,6,100,1,1,1,1000,1000
9,538.2178393175394,0.0,0.0,0.12022106148894798,20504.23620958846,16,6,100,1,1,1,1000,1000
10,519.0079773435925,0.0,0.0,0.04521479507930368,21341.6357007431,16,6,100,1,1,1,1000,1000
11,179.33830594700413,0.0,0.0,0.02233253041856441,22289.083001301988,16,6,100,1,1,1,1000,1000
12,451.38078866324486,0.0,0.0,0.022800585412386755,22538.212057643508,16,6,100,1,1,1,1000,1000
13,636.211187629746,0.0,0.0,0.02441188807629501,23357.72470007214,16,6,100,1,1,1,1000,1000
14,470.147988304202,0.0,0.0,0.024154678280907022,23987.4633153649,16,6,100,1,1,1,1000,1000
15,436.99584741951014,0.0,0.0,0.0221322023770462,23872.97117982999,16,6,100,1,1,1,1000,1000
16,490.0290331934978,0.0,0.0,0.026346674055892225,23423.247815592837,16,6,100,1,1,1,1000,1000
17,-94.72903762895373,0.0,0.0,0.10152261973781875,23569.31170971171,16,6,100,1,1,1,1000,1000
18,396.885504771354,0.0927064277530033,0.11546001301382589,0.23141654158917044,25522.437846784655,16,6,100,1,1,1,1000,1000
19,549.0118522491954,0.18084552266051201,0.3049307544402072,0.2792763407257546,27036.06259911211,16,6,100,1,1,1,1000,1000
20,650.187325407692,0.2656812410181497,0.42974537356014136,0.3134222891740985,28677.48732612044,16,6,100,1,1,1,1000,1000
21,450.4076347110471,0.3197377009353719,0.5604376929049191,0.3503366101768623,29128.17738774363,16,6,100,1,1,1,1000,1000
22,478.8317843291591,0.3074523807409726,0.5456624341958843,0.34576475513809185,28908.51427124011,16,6,100,1,1,1,1000,1000
23,247.58802467642738,0.24534175295906024,0.46015890482562527,0.32047826941838237,27611.641285987767,16,6,100,1,1,1,1000,1000
24,250.8090121218091,0.24744036944952696,0.47633909697526744,0.32506539995311606,27245.881722664286,16,6,100,1,1,1,1000,1000
25,527.3161664976656,0.1819923565675703,0.3871844968398993,0.2994101520211837,25482.891918998324,16,6,100,1,1,1,1000,1000
26,439.437489131444,0.13842403194181574,0.30026462461514997,0.2757008988803538,24158.76265576545,16,6,100,1,1,1,1000,1000
27,620.9591244365112,0.08584922836926445,0.20494042609645946,0.25101230046596973,23475.026158284236,16,6,100,1,1,1,1000,1000
28,519.6354876259942,0.04050387649480902,0.13186162656734227,0.23311873455433407,22773.391285746977,16,6,100,1,1,1,1000,1000
29,-374.3657382883895,0.03101987126645367,0.123306709540485,0.23106434298538614,22156.834363273556,16,6,100,1,1,1,1000,1000
30,534.1976132001772,0.024632781966201778,0.09720576277320618,0.22491122513396733,22272.681526610795,16,6,100,1,1,1,1000,1000
31,480.6731586558775,0.03458874442730875,0.1158846706226123,0.22958314629635862,22643.936767333846,16,6,100,1,1,1,1000,1000
32,736.9535552701421,0.04276897130132684,0.10331331029539868,0.22690323474229726,23277.194754743698,16,6,100,1,1,1,1000,1000
33,669.7691861722748,0.002113626145339831,0.0,0.15100581676792735,25360.34578912439,16,6,100,1,1,1,1000,1000
34,494.29148256033045,0.0,0.0,0.07783354074378021,27015.059323348538,16,6,100,1,1,1,1000,1000
35,-463.2912158434545,0.0,0.0,0.0366342342660607,27456.012937257514,16,6,100,1,1,1,1000,1000
36,482.0167523475353,0.0,0.0,0.032984629088238564,28071.7105935289,16,6,100,1,1,1,1000,1000
37,566.1355451031192,0.0,0.0,0.03689256472746219,28503.583714021348,16,6,100,1,1,1,1000,1000
38,668.0778544134026,0.0,0.0,0.04058430730051355,28492.507102327017,16,6,100,1,1,1,1000,1000
39,504.38183501045233,0.0,0.0,0.041430446701008025,27948.893286429862,16,6,100,1,1,1,1000,1000
40,545.0496033977684,0.0,0.0,0.05878168829121885,27719.97711536131,16,6,100,1,1,1,1000,1000
41,26.976226098615996,0.0015162617890626118,0.0,0.11736073360429465,27246.246889649003,16,6,100,1,1,1,1000,1000
42,580.6411110230282,0.22651077197781988,0.2880098914431221,0.2747871248682112,28170.158581973545,16,6,100,1,1,1,1000,1000
43,477.495528645212,0.4120756597839903,0.6893524811360185,0.3902200552870926,30125.30757485789,16,6,100,1,1,1,1000,1000
44,584.1230903854281,0.5307755635206944,0.9896566723647837,0.48868123216648957,32251.4949609794,16,6,100,1,1,1,1000,1000
45,317.51384395287664,0.5570167156320185,1.0270606175995622,0.5019345169567252,32728.01996096635,16,6,100,1,1,1,1000,1000
46,583.7181405052128,0.5388317494987693,1.001195031869704,0.49155136454200904,32086.761889675323,16,6,100,1,1,1,1000,1000
47,-744.3286551745333,0.4605364843140325,0.886793426241538,0.450879819524237,30067.7556891632,16,6,100,1,1,1,1000,1000
48,546.954606845124,0.32344466229491164,0.7632098883290834,0.4096332357862963,27208.835595965786,16,6,100,1,1,1,1000,1000
49,622.1619535136974,0.27460553952414624,0.6706446080015134,0.3796413142531208,26667.031826732782,16,6,100,1,1,1,1000,1000
50,735.139624319567,0.20964108349932087,0.5843658006729713,0.35282178739627357,23203.650231166805,16,6,100,1,1,1,1000,1000
51,572.1479852652226,0.03733517455634061,0.18934426657332495,0.24519019060960073,21498.802256349867,16,6,100,1,1,1,1000,1000
52,334.82053226020764,0.01324158985802093,0.10648915001448202,0.225910916384258,21341.92719331309,16,6,100,1,1,1,1000,1000
53,-790.4545665731393,0.014836566209686874,0.10967545619596109,0.22668252993589966,21433.074743748897,16,6,100,1,1,1,1000,1000
54,296.6938240279489,0.012556847576851493,0.09135103162267129,0.22301423669837894,21564.81332905981,16,6,100,1,1,1,1000,1000
55,507.37447229778974,0.02936996034199446,0.12078537605464518,0.23013032515928242,22040.425295883488,16,6,100,1,1,1,1000,1000
56,469.16267713536496,0.021730309164907147,0.06327993890548043,0.2170417486187511,22465.75179516633,16,6,100,1,1,1,1000,1000
57,535.6845140259865,0.000829885911924233,0.0,0.169143844307834,23203.679064853528,16,6,100,1,1,1,1000,1000
58,635.7504472121065,0.0,0.0,0.11505037700488357,24301.535742899996,16,6,100,1,1,1,1000,1000
59,-398.21746982629236,0.0,0.0,0.06606560686715045,26705.8678772446,16,6,100,1,1,1,1000,1000
60,538.0459715778451,0.0,0.0,0.037729555882977564,26670.490790288764,16,6,100,1,1,1,1000,1000
61,629.9700607372306,0.0,0.0,0.029939262769446952,26664.935019274173,16,6,100,1,1,1,1000,1000
62,451.17312726138164,0.0,0.0,0.02863112332297633,26353.626555916173,16,6,100,1,1,1,1000,1000
63,378.3120393772978,0.0,0.0,0.03173827925734872,25696.253415099716,16,6,100,1,1,1,1000,1000
64,629.9522912761514,0.0,0.0,0.04770872384853827,24839.759295761214,16,6,100,1,1,1,1000,1000
