number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_net_arch,user_attrs_Model,state
0,117.3574015476579,2022-09-09 00:36:15.621124,2022-09-09 07:34:05.745194,0 days 06:57:50.124070,leaky_relu,0.92,0.999,0.0019087614756145956,0.8,2048,big,A2C,COMPLETE
1,-60.420766978116546,2022-09-09 00:36:18.450241,2022-09-09 07:51:44.849320,0 days 07:15:26.399079,relu,0.95,0.995,0.6158112956118994,0.8,16,small,A2C,COMPLETE
2,-86.77280618188315,2022-09-09 00:36:21.586112,2022-09-09 07:59:03.150604,0 days 07:22:41.564492,elu,0.8,0.99,0.01592332011606663,2.0,1024,small,A2C,COMPLETE
3,-218.51812842195574,2022-09-09 00:36:24.468711,2022-09-09 07:35:55.795831,0 days 06:59:31.327120,elu,0.95,0.9,0.3267161048252414,0.9,256,small,A2C,COMPLETE
4,79.05205212654214,2022-09-09 00:36:27.561458,2022-09-09 09:20:51.376374,0 days 08:44:23.814916,leaky_relu,0.9,0.9999,0.004059575400896525,0.8,512,medium,A2C,COMPLETE
5,-45.739586934520936,2022-09-09 00:36:30.477637,2022-09-09 07:34:06.892972,0 days 06:57:36.415335,tanh,0.8,0.9999,0.03156589231623511,0.9,64,big,A2C,COMPLETE
6,102.58165153744933,2022-09-09 00:36:33.562995,2022-09-09 09:02:53.892967,0 days 08:26:20.329972,leaky_relu,0.8,0.99,0.0001897012873055795,1.0,8,big,A2C,COMPLETE
7,412.88121418632846,2022-09-09 00:36:36.503991,2022-09-09 07:30:47.802955,0 days 06:54:11.298964,tanh,0.95,0.98,0.0007276515301192982,1.0,128,big,A2C,COMPLETE
8,499.1458379005691,2022-09-09 07:30:47.864946,2022-09-09 14:20:41.025626,0 days 06:49:53.160680,tanh,0.92,0.95,0.00034967798145586597,0.3,1024,medium,A2C,COMPLETE
9,-209.95121172337107,2022-09-09 07:34:05.810038,2022-09-09 15:45:10.905950,0 days 08:11:05.095912,elu,0.98,0.95,0.7652537050471566,0.7,32,medium,A2C,COMPLETE
10,-114.09443356162403,2022-09-09 07:34:06.963081,2022-09-09 14:24:06.448144,0 days 06:49:59.485063,relu,0.98,0.9999,0.0006720302766658408,2.0,512,medium,A2C,COMPLETE
11,-218.08599135689414,2022-09-09 07:35:55.861281,2022-09-09 15:27:45.213667,0 days 07:51:49.352386,tanh,0.8,0.95,0.04165773924386228,5.0,256,small,A2C,COMPLETE
12,475.6666750627436,2022-09-09 07:51:44.925951,2022-09-09 15:23:31.942367,0 days 07:31:47.016416,tanh,0.9,0.99,4.9702900816342993e-05,0.6,8,medium,A2C,COMPLETE
13,507.3051197574861,2022-09-09 07:59:03.447776,2022-09-09 15:26:42.430436,0 days 07:27:38.982660,tanh,0.8,0.95,0.00019894075588683488,0.3,8,small,A2C,COMPLETE
14,244.37619440136822,2022-09-09 09:02:53.989214,2022-09-09 17:13:37.166030,0 days 08:10:43.176816,tanh,0.95,0.95,1.9687313218264388e-05,0.3,64,big,A2C,COMPLETE
15,-188.68958492260643,2022-09-09 09:20:51.474653,2022-09-09 18:01:50.937294,0 days 08:40:59.462641,leaky_relu,0.92,0.9999,0.0037468806060387,2.0,32,small,A2C,COMPLETE
16,21.562305513237636,2022-09-09 14:20:41.084466,2022-09-09 21:34:22.651994,0 days 07:13:41.567528,elu,0.98,0.98,0.005095779888888422,0.6,2048,medium,A2C,COMPLETE
17,382.20795047495756,2022-09-09 14:24:06.507491,2022-09-09 21:19:27.378870,0 days 06:55:20.871379,tanh,0.99,0.95,0.00020096765417812397,0.3,256,medium,A2C,COMPLETE
18,360.95038000684104,2022-09-09 15:23:32.012898,2022-09-09 23:02:40.380260,0 days 07:39:08.367362,tanh,0.9,0.99,0.00029491472824435676,0.6,8,medium,A2C,COMPLETE
19,81.27351433708536,2022-09-09 15:26:42.505588,2022-09-09 22:47:51.569977,0 days 07:21:09.064389,tanh,0.8,0.95,0.0024889369758278866,0.3,8,small,A2C,COMPLETE
20,203.90768542298346,2022-09-09 15:27:45.276002,2022-09-09 23:58:32.872553,0 days 08:30:47.596551,tanh,0.95,0.95,2.742251336076069e-05,0.3,1024,medium,A2C,COMPLETE
21,-57.93436074613436,2022-09-09 15:45:10.980012,2022-09-10 00:27:55.612522,0 days 08:42:44.632510,tanh,0.8,0.95,0.001727013706637094,0.3,8,medium,A2C,COMPLETE
22,302.99648520124117,2022-09-09 17:13:37.242847,2022-09-10 01:18:15.477725,0 days 08:04:38.234878,elu,0.8,0.95,3.016120670551059e-05,0.3,8,small,A2C,COMPLETE
23,400.3546798572349,2022-09-09 18:01:51.020397,2022-09-10 02:37:07.624515,0 days 08:35:16.604118,tanh,0.92,0.98,0.002666836708513849,0.8,1024,medium,A2C,COMPLETE
24,227.93261716797173,2022-09-09 21:19:27.435793,2022-09-10 04:28:41.986275,0 days 07:09:14.550482,tanh,0.8,0.98,1.5888280146945983e-05,0.3,8,small,A2C,COMPLETE
25,195.064718098293,2022-09-09 21:34:22.709580,2022-09-10 04:52:36.307215,0 days 07:18:13.597635,tanh,0.92,0.9,0.005232760743206138,0.3,1024,medium,A2C,COMPLETE
26,137.45770026231557,2022-09-09 22:47:51.633149,2022-09-10 05:59:09.029207,0 days 07:11:17.396058,elu,0.8,0.9999,0.00015563657576734524,0.3,128,medium,A2C,COMPLETE
27,419.37334961407805,2022-09-09 23:02:40.435543,2022-09-10 06:30:30.720485,0 days 07:27:50.284942,leaky_relu,0.92,0.98,2.3149734730322984e-05,2.0,1024,medium,A2C,COMPLETE
28,350.78773185798053,2022-09-09 23:58:32.926277,2022-09-10 08:18:42.408800,0 days 08:20:09.482523,tanh,0.92,0.95,0.002498809597194057,0.5,2048,medium,A2C,COMPLETE
29,167.69363302462193,2022-09-10 00:27:55.665888,2022-09-10 08:59:03.714976,0 days 08:31:08.049088,elu,0.9,0.999,2.993906856681759e-05,0.9,8,medium,A2C,COMPLETE
30,406.5824217980651,2022-09-10 01:18:15.531595,2022-09-10 08:03:34.777657,0 days 06:45:19.246062,tanh,0.92,0.999,0.0017049497457584494,1.0,1024,medium,A2C,COMPLETE
31,100.62537512325983,2022-09-10 02:37:07.696033,2022-09-10 11:06:23.521798,0 days 08:29:15.825765,leaky_relu,0.92,0.999,0.0002446181767020187,0.3,1024,medium,A2C,COMPLETE
32,317.69871131307053,2022-09-10 04:28:42.041808,2022-09-10 11:45:48.074278,0 days 07:17:06.032470,tanh,0.9,0.9,1.029742353720465e-05,0.9,8,medium,A2C,COMPLETE
33,233.54246935521078,2022-09-10 04:52:36.378636,2022-09-10 12:13:11.297216,0 days 07:20:34.918580,tanh,0.99,0.9,3.891337875394357e-05,0.6,512,medium,A2C,COMPLETE
34,324.7002538478005,2022-09-10 05:59:09.082032,2022-09-10 12:36:34.844615,0 days 06:37:25.762583,leaky_relu,0.9,0.99,6.137559073314614e-05,0.9,256,medium,A2C,COMPLETE
35,180.03478773268802,2022-09-10 06:30:30.781371,2022-09-10 14:18:22.406547,0 days 07:47:51.625176,tanh,0.99,0.99,1.579698919846374e-05,0.7,2048,medium,A2C,COMPLETE
36,243.45429387013968,2022-09-10 08:03:34.831135,2022-09-10 14:47:44.537572,0 days 06:44:09.706437,relu,0.92,0.95,0.0001158520839891908,0.3,32,medium,A2C,COMPLETE
37,197.49055648924866,2022-09-10 08:18:42.492027,2022-09-10 16:19:55.374597,0 days 08:01:12.882570,tanh,0.92,0.95,4.602797696127519e-05,0.8,512,small,A2C,COMPLETE
38,259.4309482506768,2022-09-10 08:59:03.770881,2022-09-10 17:19:32.144435,0 days 08:20:28.373554,leaky_relu,0.92,0.9999,0.00010611178904835614,0.3,1024,big,A2C,COMPLETE
39,464.9788033149547,2022-09-10 11:06:23.576872,2022-09-10 19:36:35.460607,0 days 08:30:11.883735,elu,0.92,0.98,1.7235205660075382e-05,2.0,32,medium,A2C,COMPLETE
40,472.9564499151111,2022-09-10 11:45:48.132152,2022-09-10 18:32:27.370533,0 days 06:46:39.238381,leaky_relu,0.8,0.99,1.8834288197999604e-05,2.0,1024,medium,A2C,COMPLETE
41,198.04492626902513,2022-09-10 12:13:11.358972,2022-09-10 18:58:11.659967,0 days 06:45:00.300995,leaky_relu,0.9,0.98,0.00016705033728555685,2.0,1024,medium,A2C,COMPLETE
42,365.3254394191075,2022-09-10 12:36:34.897920,2022-09-10 19:18:41.428084,0 days 06:42:06.530164,relu,0.9,0.98,6.41752426945031e-05,2.0,1024,medium,A2C,COMPLETE
43,80.27757424481891,2022-09-10 14:18:22.462834,2022-09-10 21:45:01.642723,0 days 07:26:39.179889,leaky_relu,0.92,0.99,0.00018704495465534946,2.0,64,medium,A2C,COMPLETE
44,356.5227898110161,2022-09-10 14:47:44.589958,2022-09-10 21:34:18.134815,0 days 06:46:33.544857,elu,0.99,0.98,2.786047274266535e-05,2.0,1024,big,A2C,COMPLETE
45,85.8692758015483,2022-09-10 16:19:55.454531,2022-09-11 00:05:05.166954,0 days 07:45:09.712423,relu,0.92,0.98,0.0002195362471292754,2.0,1024,medium,A2C,COMPLETE
46,402.02137777605856,2022-09-10 17:19:32.196383,2022-09-11 01:04:14.844784,0 days 07:44:42.648401,leaky_relu,0.92,0.98,1.4372204271373365e-05,0.5,16,medium,A2C,COMPLETE
47,269.75763484260335,2022-09-10 18:32:27.424611,2022-09-11 01:41:22.775736,0 days 07:08:55.351125,tanh,0.9,0.99,1.2641436235077707e-05,1.0,16,medium,A2C,COMPLETE
48,477.5848246000486,2022-09-10 18:58:11.713923,2022-09-11 02:04:53.092998,0 days 07:06:41.379075,elu,0.8,0.99,1.2975910554734714e-05,2.0,1024,medium,A2C,COMPLETE
