number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_tau,params_train_freq,user_attrs_Model,state
0,69.91667117180448,2022-09-09 00:37:28.405501,2022-09-09 09:27:06.598101,0 days 08:49:38.192600,elu,64,100000,0.99,0.06151630609872988,small,0.02,32,DDPG,COMPLETE
1,385.28183484794005,2022-09-09 00:37:31.423020,2022-09-09 09:35:53.179407,0 days 08:58:21.756387,relu,16,100000,0.99,0.00028120414881176983,small,0.01,512,DDPG,COMPLETE
2,297.87660367467714,2022-09-09 00:37:34.466554,2022-09-09 14:51:54.139952,0 days 14:14:19.673398,relu,128,1000000,0.9999,0.0003007544419493666,big,0.005,256,DDPG,COMPLETE
3,9.393740968769205,2022-09-09 00:37:37.406595,2022-09-09 09:48:42.801442,0 days 09:11:05.394847,leaky_relu,256,100000,0.999,0.04782997984095047,small,0.005,4,DDPG,COMPLETE
4,-23.947396468605554,2022-09-09 00:37:40.467790,2022-09-10 20:54:54.545020,1 days 20:17:14.077230,relu,2048,100000,0.98,0.16054261728412106,medium,0.05,1,DDPG,COMPLETE
5,233.09625527183053,2022-09-09 00:37:43.456194,2022-09-09 10:16:31.147803,0 days 09:38:47.691609,leaky_relu,16,10000,0.9999,2.610746211322837e-05,medium,0.01,1,DDPG,COMPLETE
6,253.84357277828514,2022-09-09 00:37:46.580018,2022-09-10 01:17:13.301640,1 days 00:39:26.721622,tanh,512,1000000,0.9,0.00085262967202728,big,0.02,512,DDPG,COMPLETE
7,212.15772145162504,2022-09-09 00:37:49.510030,2022-09-09 09:04:59.712720,0 days 08:27:10.202690,tanh,100,100000,0.9999,2.683199839368143e-05,small,0.01,16,DDPG,COMPLETE
8,313.5056137289421,2022-09-09 09:04:59.776663,2022-09-09 17:44:19.955978,0 days 08:39:20.179315,relu,100,1000000,0.999,0.0005857811669135702,small,0.08,256,DDPG,COMPLETE
9,-9.146079341690625,2022-09-09 09:27:06.663749,2022-09-10 22:43:33.864453,1 days 13:16:27.200704,leaky_relu,1024,100000,0.98,0.09646517639437194,big,0.005,4,DDPG,COMPLETE
10,154.7360943863267,2022-09-09 09:35:53.245998,2022-09-09 19:10:42.975316,0 days 09:34:49.729318,elu,64,100000,0.995,7.001760994072556e-05,small,0.05,1,DDPG,COMPLETE
11,290.50444495351877,2022-09-09 09:48:42.873745,2022-09-10 12:10:25.654533,1 days 02:21:42.780788,relu,1024,1000000,0.995,1.189705878759903e-05,medium,0.08,256,DDPG,COMPLETE
12,41.96616130345352,2022-09-09 10:16:31.216412,2022-09-09 20:57:57.473474,0 days 10:41:26.257062,tanh,32,1000000,0.999,0.0013256620583093255,medium,0.02,512,DDPG,COMPLETE
13,266.44776571591945,2022-09-09 14:51:54.222404,2022-09-10 05:18:45.888829,0 days 14:26:51.666425,elu,64,100000,0.995,0.0002450537564913225,big,0.08,16,DDPG,COMPLETE
14,47.924088121649234,2022-09-09 17:44:20.015712,2022-09-10 13:04:22.925791,0 days 19:20:02.910079,relu,256,10000,0.9999,0.8521175399803704,big,0.001,512,DDPG,COMPLETE
15,262.0140942181598,2022-09-09 19:10:43.040056,2022-09-10 04:33:56.600554,0 days 09:23:13.560498,tanh,100,100000,0.995,0.0006178359684818536,small,0.02,32,DDPG,COMPLETE
16,-23.7545029186066,2022-09-09 20:57:57.523591,2022-09-10 12:32:18.318978,0 days 15:34:20.795387,elu,100,10000,0.9,0.01904292417713451,big,0.02,256,DDPG,COMPLETE
17,141.93543406232527,2022-09-10 01:17:13.374710,2022-09-10 09:49:49.433445,0 days 08:32:36.058735,relu,100,100000,0.99,0.008130715675191,small,0.01,64,DDPG,COMPLETE
18,272.03217802086425,2022-09-10 04:33:56.656633,2022-09-10 16:45:45.724103,0 days 12:11:49.067470,elu,512,1000000,0.999,4.841114046033426e-05,small,0.08,256,DDPG,COMPLETE
