number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_policy_delay,params_tau,params_train_freq,user_attrs_Model,state
0,185.6235454366891,2022-09-09 00:37:52.615548,2022-09-09 09:19:23.729863,0 days 08:41:31.114315,relu,100,10000,0.9,0.023668604279493907,small,3,0.01,128,TD3,COMPLETE
1,-167.73479571029853,2022-09-09 00:37:55.515600,2022-09-10 02:18:09.376916,1 days 01:40:13.861316,tanh,1024,10000,0.98,0.006019659165880056,medium,3,0.02,128,TD3,COMPLETE
2,-34.3188459990068,2022-09-09 00:37:58.661186,2022-09-09 19:54:52.907027,0 days 19:16:54.245841,relu,256,10000,0.999,0.12729740543719395,big,2,0.005,16,TD3,COMPLETE
3,31.309867819713162,2022-09-09 00:38:01.566454,2022-09-09 14:17:54.630321,0 days 13:39:53.063867,tanh,128,100000,0.95,0.7821901791800793,medium,2,0.05,128,TD3,COMPLETE
4,-326.3801476139157,2022-09-09 00:38:04.670481,2022-09-09 13:07:46.729315,0 days 12:29:42.058834,relu,64,1000000,0.999,0.9792454865743444,medium,2,0.005,4,TD3,COMPLETE
5,113.6299521346914,2022-09-09 00:38:07.808982,2022-09-09 08:37:10.339416,0 days 07:59:02.530434,leaky_relu,16,100000,0.95,0.015898527913395362,small,3,0.01,32,TD3,COMPLETE
6,227.5197711939311,2022-09-09 00:38:10.733074,2022-09-09 13:38:46.151728,0 days 13:00:35.418654,tanh,64,10000,0.9999,0.0011638447799956243,big,3,0.02,32,TD3,COMPLETE
7,-253.74080864501667,2022-09-09 00:38:13.988553,2022-09-09 12:05:17.231768,0 days 11:27:03.243215,relu,64,100000,0.98,0.022737234008618153,medium,3,0.01,128,TD3,COMPLETE
8,-10.22525096181932,2022-09-09 08:37:10.419400,2022-09-09 16:59:50.630868,0 days 08:22:40.211468,tanh,16,100000,0.995,0.08063908812305327,small,3,0.05,4,TD3,COMPLETE
9,-210.77868262936076,2022-09-09 09:19:23.798194,2022-09-09 18:51:44.144648,0 days 09:32:20.346454,leaky_relu,16,100000,0.9,0.03190553157173495,medium,2,0.01,64,TD3,COMPLETE
10,31.028732952226846,2022-09-09 12:05:17.302008,2022-09-10 15:14:37.647852,1 days 03:09:20.345844,leaky_relu,1024,1000000,0.9999,0.1481024445492088,medium,2,0.005,128,TD3,COMPLETE
11,53.05664724864225,2022-09-09 13:07:46.802919,2022-09-09 23:36:56.951581,0 days 10:29:10.148662,relu,512,100000,0.99,0.6853316560939863,small,2,0.001,32,TD3,COMPLETE
12,177.4745066622017,2022-09-09 13:38:46.228132,2022-09-10 02:12:35.609053,0 days 12:33:49.380921,relu,100,100000,0.9,0.0012113828770069811,big,3,0.01,128,TD3,COMPLETE
13,220.43060984420399,2022-09-09 14:17:54.709932,2022-09-10 01:04:58.816352,0 days 10:47:04.106420,leaky_relu,100,100000,0.98,1.596233801470265e-05,medium,3,0.001,1,TD3,COMPLETE
14,212.9688468493418,2022-09-09 16:59:50.691598,2022-09-10 05:18:51.995693,0 days 12:19:01.304095,elu,64,10000,0.999,0.0007252574163420887,medium,2,0.01,256,TD3,COMPLETE
15,-157.60582126815126,2022-09-09 18:51:44.200158,2022-09-10 11:35:42.030250,0 days 16:43:57.830092,leaky_relu,512,1000000,0.98,0.0038123798960575032,medium,3,0.01,1,TD3,COMPLETE
16,50.17693140329223,2022-09-09 19:54:52.970760,2022-09-10 09:33:13.979191,0 days 13:38:21.008431,relu,128,1000000,0.95,0.0022573556499835153,big,2,0.08,32,TD3,COMPLETE
17,334.5242017159717,2022-09-09 23:36:57.006153,2022-09-10 10:53:07.118823,0 days 11:16:10.112670,tanh,64,10000,0.999,0.00010214163259988363,big,3,0.02,16,TD3,COMPLETE
18,294.25800440115586,2022-09-10 01:04:58.872667,2022-09-10 13:25:32.522479,0 days 12:20:33.649812,tanh,64,10000,0.9999,0.00038910473544956993,big,3,0.02,256,TD3,COMPLETE
19,206.12264102534837,2022-09-10 02:12:35.656409,2022-09-10 11:21:16.235264,0 days 09:08:40.578855,leaky_relu,100,100000,0.98,1.1933758865064994e-05,medium,3,0.05,64,TD3,COMPLETE
20,268.138760338243,2022-09-10 02:18:09.446287,2022-09-10 13:08:16.101931,0 days 10:50:06.655644,tanh,64,10000,0.9999,0.00026327234437403563,big,3,0.02,16,TD3,COMPLETE
