,reward,v_violations,i_violations,losses,demand,T,tau,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6
0,-12.040272493109471,0.11490421921071647,0.27918048180704985,0.2706700902307743,24426.85079200993,16,6,100,1,1,1,1000,1000
1,350.2266705202495,0.1292251093425505,0.2955634924676454,0.27434170006147374,24493.122737045564,16,6,100,1,1,1,1000,1000
2,356.02333783254915,0.05822669878611608,0.1770529901295015,0.24415693481814862,22768.49198114737,16,6,100,1,1,1,1000,1000
3,143.46195097651645,0.004416878280986913,0.059825700040447176,0.21571993214252433,21348.552495588778,16,6,100,1,1,1,1000,1000
4,224.3869654572973,0.0,0.0,0.19662695755866574,20338.618214556307,16,6,100,1,1,1,1000,1000
5,81.43293150053748,0.0,0.0,0.192754511103562,19993.768306609625,16,6,100,1,1,1,1000,1000
6,400.62663191988304,0.0,0.0,0.18302803800271547,20038.597516790076,16,6,100,1,1,1,1000,1000
7,269.8116196956046,0.0,0.0,0.18838030439544548,20378.49260438723,16,6,100,1,1,1,1000,1000
8,224.30695080313131,0.0,0.0,0.1809833094175166,20114.758919952692,16,6,100,1,1,1,1000,1000
9,287.5275045575878,0.0,0.0,0.11971414663583056,20551.630941696607,16,6,100,1,1,1,1000,1000
10,275.6555881867699,0.0,0.0,0.04809709689100315,22177.385229361378,16,6,100,1,1,1,1000,1000
11,348.56873984478824,0.0,0.0,0.021851133366164528,23425.160966519925,16,6,100,1,1,1,1000,1000
12,431.2865888246005,0.0,0.0,0.02300628343170935,23972.603259749016,16,6,100,1,1,1,1000,1000
13,539.9751980913588,0.0,0.0,0.024801908641114458,24527.501082519466,16,6,100,1,1,1,1000,1000
14,475.48813938571794,0.0,0.0,0.024346118432468537,24489.50611932985,16,6,100,1,1,1,1000,1000
15,539.0815986411851,0.0,0.0,0.021813986988729446,23420.77918510787,16,6,100,1,1,1,1000,1000
16,539.977259883317,0.0,0.0,0.022740116683059617,23037.75642022062,16,6,100,1,1,1,1000,1000
17,355.86289574349234,0.0,0.0,0.09110371201940985,23493.646930623003,16,6,100,1,1,1,1000,1000
18,531.2965454554623,0.08457751538938951,0.03391609343645086,0.2117869121622848,26147.71443073196,16,6,100,1,1,1,1000,1000
19,521.9144178307572,0.17588217146696805,0.23658972445715462,0.26077529808881206,27617.21396528719,16,6,100,1,1,1,1000,1000
20,517.9969814352803,0.21430636188298813,0.29605536114485576,0.27632701527601206,28545.810619672367,16,6,100,1,1,1,1000,1000
21,515.717614319455,0.23665138761680138,0.33145940402078994,0.2857875148440758,29066.161058799684,16,6,100,1,1,1,1000,1000
22,517.4956159049841,0.2191293321660034,0.3111878793709289,0.28026299904472346,28561.692051387206,16,6,100,1,1,1,1000,1000
23,-23.716318509656844,0.15044454064256996,0.23635170481654513,0.26027083579443694,26475.61928555007,16,6,100,1,1,1,1000,1000
24,523.5529115243982,0.15936186674532493,0.2476789310298689,0.2632228700395326,26729.722192987465,16,6,100,1,1,1,1000,1000
25,530.3051476546999,0.09283785221022245,0.1682538280086064,0.24281329626927256,24735.20120997704,16,6,100,1,1,1,1000,1000
26,535.549170842021,0.04117315556431811,0.10608498366576427,0.22742861788137897,23127.981348818244,16,6,100,1,1,1,1000,1000
27,525.1630738499223,0.023954940672435643,0.08237705784086899,0.2216944521783,22498.32929141823,16,6,100,1,1,1,1000,1000
28,538.277244873137,0.014383626936019467,0.06649431874896279,0.21789811451208868,22083.543663101314,16,6,100,1,1,1,1000,1000
29,384.95874410430037,0.012748880854756894,0.06003450142897179,0.21640296128739708,22055.51760713395,16,6,100,1,1,1,1000,1000
30,537.8853449638001,0.01821108508396785,0.0739004369593212,0.219646090843772,22252.945379166562,16,6,100,1,1,1,1000,1000
31,524.3212023857474,0.03680002987545694,0.10136797855939492,0.22625545979302888,22953.59677835055,16,6,100,1,1,1,1000,1000
32,534.3857756605769,0.05275732174386105,0.11024973555980566,0.22824242947714718,23602.168129973128,16,6,100,1,1,1,1000,1000
33,448.55742974684193,0.01284558684464887,0.0,0.15801156869317218,25683.028974990175,16,6,100,1,1,1,1000,1000
34,274.98037937362596,0.0,0.0,0.06897565643383269,27643.1916471745,16,6,100,1,1,1,1000,1000
35,320.5600006559695,0.0,0.0,0.034027246289693606,28779.212158951843,16,6,100,1,1,1,1000,1000
