,reward,v_violations,i_violations,losses,demand,T,tau,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6
0,-14.338768141998896,0.13743536353434105,0.3153486659397359,0.27988312262505544,23755.289001402714,16,6,100,1,1,1,1000,1000
1,384.66482973976855,0.1294805798008335,0.312959730668926,0.2787223660684898,24197.696421299373,16,6,100,1,1,1,1000,1000
2,268.1114366960061,0.06194365363815668,0.1887107304597582,0.24664569513105655,22780.72167217333,16,6,100,1,1,1,1000,1000
3,202.4028343291834,0.0013251266190802413,0.025623330274154484,0.20830200605752497,21312.576086462956,16,6,100,1,1,1,1000,1000
4,145.15677816181088,0.0,0.0,0.18642061443425015,20628.29784132383,16,6,100,1,1,1,1000,1000
5,47.83128915872766,0.0,0.0,0.1785631937931827,20305.592022717243,16,6,100,1,1,1,1000,1000
6,250.10572383572165,0.0,0.0,0.17804434131082367,20054.47555312271,16,6,100,1,1,1,1000,1000
7,166.4474714854016,0.0,0.0,0.18276800129273899,20266.668713270272,16,6,100,1,1,1,1000,1000
8,309.1351046053411,0.0,0.0,0.1772389920709975,20116.866569661015,16,6,100,1,1,1,1000,1000
9,263.7745004130215,0.0,0.0,0.11843152514992236,20537.842721863482,16,6,100,1,1,1,1000,1000
10,136.43901944050415,0.0,0.0,0.04806161036863538,22157.354235262887,16,6,100,1,1,1,1000,1000
11,129.13394276895187,0.0,0.0,0.02415224463167012,23043.318625854943,16,6,100,1,1,1,1000,1000
12,308.12372865439204,0.0,0.0,0.023077108852615887,23445.848977654194,16,6,100,1,1,1,1000,1000
13,287.49255201491894,0.0,0.0,0.024633196262693016,24245.501387266166,16,6,100,1,1,1,1000,1000
14,344.64956102918956,0.0,0.0,0.024554151779686593,24635.56951639322,16,6,100,1,1,1,1000,1000
15,414.6047882032759,0.0,0.0,0.02241096969771714,23916.6886091112,16,6,100,1,1,1,1000,1000
16,292.5617974830273,0.0,0.0,0.02626480334963008,23633.729070664696,16,6,100,1,1,1,1000,1000
17,232.76327424795574,0.0,0.0,0.1044528210289591,23592.28001575369,16,6,100,1,1,1,1000,1000
18,268.06863561094383,0.13084103373580025,0.2457455132313072,0.2621295159167632,25421.039619469997,16,6,100,1,1,1,1000,1000
19,252.215364582162,0.2760863689864014,0.5100957436275627,0.3335844696010436,27889.46190692434,16,6,100,1,1,1,1000,1000
20,327.07796502841,0.31953428696605035,0.606801800584926,0.3618044744000194,28595.545348168092,16,6,100,1,1,1,1000,1000
21,449.9244106665382,0.3510895961397834,0.6836956072341607,0.3851670452937051,28969.834555504367,16,6,100,1,1,1,1000,1000
22,320.9569746702508,0.36678147986549126,0.7113275084122728,0.3935124126076132,28953.237315310114,16,6,100,1,1,1,1000,1000
23,-293.2776083113914,0.28478953414952357,0.6037995194930719,0.36015392699976573,26840.815467227527,16,6,100,1,1,1,1000,1000
24,355.62878806059456,0.2782894768819727,0.5721650671294902,0.3511645527309909,27052.24359843762,16,6,100,1,1,1,1000,1000
25,292.0381187391525,0.20670957670981238,0.4403327087854001,0.3129770123674988,25475.258000873095,16,6,100,1,1,1,1000,1000
26,259.92460412106203,0.14679226611044027,0.31389345214744124,0.27857298447820966,24319.383414156346,16,6,100,1,1,1,1000,1000
27,386.99602424354714,0.10535951959834333,0.2121808055895309,0.25257379547237424,23835.36596565857,16,6,100,1,1,1,1000,1000
28,319.7209426077445,0.0866896993104449,0.16830699108577094,0.24185314010812076,23539.84970657073,16,6,100,1,1,1,1000,1000
29,-823.1763788335571,0.06809005364864384,0.14138010705029969,0.23528786658046963,23220.30551425804,16,6,100,1,1,1,1000,1000
30,381.39794924584623,0.047196454208017324,0.1484999963336439,0.2370486475652537,22554.548009447775,16,6,100,1,1,1,1000,1000
31,398.9179308012632,0.056678222099786124,0.16049717994855897,0.24027439071881096,22989.593611589582,16,6,100,1,1,1,1000,1000
32,365.81623332933935,0.07830512515904242,0.17994126408255626,0.24508260502930984,23620.174456142922,16,6,100,1,1,1,1000,1000
33,232.03472174812063,0.023597931025086893,0.0,0.17858953093195107,25080.399397196023,16,6,100,1,1,1,1000,1000
34,214.32790645784914,0.0,0.0,0.09032836728512687,26418.61535499455,16,6,100,1,1,1,1000,1000
35,-161.54397327832703,0.0,0.0,0.041460368687631075,28940.338119379358,16,6,100,1,1,1,1000,1000
36,347.41881502131906,0.0,0.0,0.03702985783132612,29006.064061842073,16,6,100,1,1,1,1000,1000
37,350.72795208994575,0.0,0.0,0.04151526387504318,29289.872775888212,16,6,100,1,1,1,1000,1000
38,316.634799781552,0.0,0.0,0.046194252261475235,29181.209362416066,16,6,100,1,1,1,1000,1000
39,429.23322341433567,0.0,0.0,0.04578926571802168,28377.4682551444,16,6,100,1,1,1,1000,1000
40,354.6440604365248,0.0,0.0,0.0634691083055314,27958.225369597487,16,6,100,1,1,1,1000,1000
41,200.11419263643967,0.006936882762614616,0.0,0.12267138099604945,27342.414848489192,16,6,100,1,1,1,1000,1000
42,317.29619644580146,0.23822706783713954,0.3319763557857918,0.2855515365249595,28492.14418598062,16,6,100,1,1,1,1000,1000
43,478.0108625828362,0.4499242610470334,0.8988723574289409,0.45571096430890434,30409.240546375837,16,6,100,1,1,1,1000,1000
44,274.3344228277915,0.5602060619498609,1.1007304578280215,0.5258636921544173,32059.160848826592,16,6,100,1,1,1,1000,1000
45,241.54519860307067,0.5842659601060599,1.1590670628549586,0.5471211306277874,32322.854111975274,16,6,100,1,1,1,1000,1000
46,338.35815733085866,0.5674843041888767,1.1384452993547223,0.5393392806108581,31633.300125462432,16,6,100,1,1,1,1000,1000
47,-856.3791697898147,0.4992818108692899,1.020708428931514,0.4956506332991723,29890.16160873853,16,6,100,1,1,1,1000,1000
48,511.4863084562597,0.3234005297203506,0.7155536678270913,0.3941219674768138,26406.987693177154,16,6,100,1,1,1,1000,1000
49,336.2571629808192,0.17310430769506902,0.4110044448376925,0.30443422213357013,24261.13721289203,16,6,100,1,1,1,1000,1000
50,378.4089232993652,0.1051342695611337,0.3313908255154226,0.2828304216915421,22448.134858763,16,6,100,1,1,1,1000,1000
51,485.17492968018587,0.047049930344085444,0.18527667772929818,0.2460417575785873,21791.767943228064,16,6,100,1,1,1,1000,1000
52,496.453122829499,0.007618438371157388,0.054672257895173146,0.214816184132654,21571.48943658622,16,6,100,1,1,1,1000,1000
53,-416.8605854442031,0.005226778087597084,0.06131239114229686,0.2163983798137251,21417.740076521306,16,6,100,1,1,1,1000,1000
54,192.59842645866465,0.013737224252511782,0.08446105179728419,0.22179716114967848,21728.248538950123,16,6,100,1,1,1,1000,1000
55,267.9140243800813,0.017711396335783447,0.09134079735661245,0.22349518898376267,21992.27291948474,16,6,100,1,1,1,1000,1000
56,275.96153126267944,0.02183569190346757,0.04568651776818271,0.21308885699493135,22754.844563064013,16,6,100,1,1,1,1000,1000
57,355.5551190524465,0.02014894723880234,0.0,0.18092177817765112,24497.660790968406,16,6,100,1,1,1,1000,1000
58,201.99671338908354,0.0,0.0,0.12445140965303188,26379.62056540079,16,6,100,1,1,1,1000,1000
59,191.2355004192142,0.0,0.0,0.07756119996829136,26778.883489757925,16,6,100,1,1,1,1000,1000
60,323.6061502208079,0.0,0.0,0.04412405592549597,26772.99835484701,16,6,100,1,1,1,1000,1000
61,401.00158144541894,0.0,0.0,0.034499868667993615,26853.684033704278,16,6,100,1,1,1,1000,1000
62,278.34230874747067,0.0,0.0,0.03163362771245484,26423.787034024317,16,6,100,1,1,1,1000,1000
63,162.2402776007944,0.0,0.0,0.036221670598428936,26044.44157377072,16,6,100,1,1,1,1000,1000
64,654.3455062311589,0.0,0.0,0.05190988364821124,24888.44590108592,16,6,100,1,1,1,1000,1000
65,16.846236107964074,0.0,0.0,0.09107116636367059,24574.05040603822,16,6,100,1,1,1,1000,1000
66,354.40335484769895,0.0201340926359449,0.0,0.17399802707326192,24868.369738542715,16,6,100,1,1,1,1000,1000
67,308.55490360423715,0.2228096820334836,0.3265611178535346,0.28377841260412906,27858.781029174286,16,6,100,1,1,1,1000,1000
68,244.01914685583816,0.2952568578280116,0.506006877392122,0.33352079738409046,28930.22493891172,16,6,100,1,1,1,1000,1000
69,386.91669731496046,0.3593404057934856,0.6360408531888921,0.3721547012936079,29587.606034691977,16,6,100,1,1,1,1000,1000
70,142.35076092103154,0.3649423723015449,0.6837165641745007,0.38581937658893817,29031.41654368189,16,6,100,1,1,1,1000,1000
71,198.29387704732642,0.30986665630432975,0.6020465941264408,0.3600418976454231,27557.720020199453,16,6,100,1,1,1,1000,1000
72,319.10327462121694,0.14820843768453884,0.13371564271824382,0.2345443932090997,26453.347753356873,16,6,100,1,1,1,1000,1000
73,472.08484639033827,0.03991754871703146,0.014073434859532767,0.2061745538924531,23747.724216034156,16,6,100,1,1,1,1000,1000
74,346.84232216771056,0.0021012939696398725,0.0,0.17765860378249201,23018.078966067522,16,6,100,1,1,1,1000,1000
75,213.1794219364549,0.0,0.0,0.1608223567579861,22216.655709917817,16,6,100,1,1,1,1000,1000
76,260.18047894588943,0.0,0.0,0.16573582538134501,21965.255996312408,16,6,100,1,1,1,1000,1000
77,-35.18395771941249,0.0,0.0,0.18805723075829672,22171.4189105102,16,6,100,1,1,1,1000,1000
78,330.4731916476844,0.08665857643667607,0.18956150193777022,0.24761210328614214,23906.81155765455,16,6,100,1,1,1,1000,1000
79,66.41407189582276,0.1869424821518928,0.4190524100506961,0.3082351268330783,25674.67164141603,16,6,100,1,1,1,1000,1000
80,265.5082161938721,0.2745006422714894,0.5038880670599771,0.33207246345704516,27862.200526258715,16,6,100,1,1,1,1000,1000
81,189.00281037927704,0.14713236140344532,0.0,0.19588976349001389,28921.888350773363,16,6,100,1,1,1,1000,1000
82,290.29241108701046,0.0,0.0,0.0556204338330255,30069.114648451614,16,6,100,1,1,1,1000,1000
83,-324.414009488481,0.0,0.0,0.041748149617235726,30755.0606267341,16,6,100,1,1,1,1000,1000
84,195.63553955513464,0.0,0.0,0.04508349936974512,30684.675226560124,16,6,100,1,1,1,1000,1000
85,275.1260361541817,0.0,0.0,0.050755990593681424,30445.643982052497,16,6,100,1,1,1,1000,1000
86,178.81374686864876,0.0,0.0,0.05409270616508511,28787.421366799867,16,6,100,1,1,1,1000,1000
87,264.6820612046351,0.0,0.0,0.05282687214712275,28456.9137483896,16,6,100,1,1,1,1000,1000
88,359.95487153790685,0.0,0.0,0.04512846209316454,28273.509272239564,16,6,100,1,1,1,1000,1000
89,142.1156035727157,0.0,0.0,0.03705889869053189,27930.86115379408,16,6,100,1,1,1,1000,1000
90,310.0063728356429,0.0,0.0,0.03330001591959927,27716.163743002184,16,6,100,1,1,1,1000,1000
91,443.63320387725565,0.0,0.0,0.06781064148214229,27612.22905306627,16,6,100,1,1,1,1000,1000
92,411.2923049274593,0.1385819545237964,0.0005580466256799355,0.2036464304078798,28351.883271013932,16,6,100,1,1,1,1000,1000
