number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,user_attrs_Model,state
0,-26.873104376897345,2022-09-09 00:36:39.586340,2022-09-09 08:18:23.554924,0 days 07:41:43.968584,leaky_relu,64,0.3,0.8,0.99,0.008314243077422775,0.5,5,16,big,PPO,COMPLETE
1,116.35501038359419,2022-09-09 00:36:42.715034,2022-09-09 08:45:08.086675,0 days 08:08:25.371641,relu,64,0.1,0.95,0.9,0.03293410524483474,1.0,1,16,small,PPO,COMPLETE
2,,2022-09-09 00:36:45.594427,2022-09-09 01:00:42.395524,0 days 00:23:56.801097,tanh,32,0.2,0.95,0.995,0.2628345164100806,0.7,10,8,medium,PPO,FAIL
3,-21.84691710677321,2022-09-09 00:36:48.841852,2022-09-09 07:48:55.212089,0 days 07:12:06.370237,leaky_relu,64,0.1,1.0,0.9,0.33651281223188734,0.5,10,2048,medium,PPO,COMPLETE
4,411.87257840038944,2022-09-09 00:36:51.630110,2022-09-09 07:59:56.109392,0 days 07:23:04.479282,tanh,64,0.2,0.98,0.99,0.0007389511751362544,2.0,10,2048,medium,PPO,COMPLETE
5,-146.1913197536855,2022-09-09 00:36:54.876337,2022-09-09 08:15:06.754005,0 days 07:38:11.877668,relu,128,0.3,1.0,0.9,0.010536445938137703,0.3,20,128,big,PPO,COMPLETE
6,245.6231372366638,2022-09-09 00:36:57.661515,2022-09-09 07:55:22.923466,0 days 07:18:25.261951,elu,16,0.2,0.9,0.9999,0.002036945255155542,0.3,1,256,medium,PPO,COMPLETE
7,355.21749602567456,2022-09-09 00:37:01.156266,2022-09-09 10:37:42.637116,0 days 10:00:41.480850,tanh,16,0.1,0.95,0.98,1.4248795967478597e-05,0.3,20,8,small,PPO,COMPLETE
8,302.9532744551494,2022-09-09 07:48:55.276771,2022-09-09 14:51:31.736264,0 days 07:02:36.459493,tanh,256,0.3,0.99,0.9999,0.1677616366462002,0.8,5,512,big,PPO,COMPLETE
9,572.3423595922467,2022-09-09 07:55:22.991990,2022-09-09 15:11:52.569567,0 days 07:16:29.577577,relu,128,0.1,1.0,0.9,2.5901569052680938e-05,2.0,20,128,small,PPO,COMPLETE
10,-128.14472494884433,2022-09-09 07:59:56.180130,2022-09-09 15:31:26.086052,0 days 07:31:29.905922,relu,128,0.2,1.0,0.995,0.01132492351282786,0.3,10,512,big,PPO,COMPLETE
11,218.0488260963315,2022-09-09 08:15:06.825515,2022-09-09 15:45:38.694862,0 days 07:30:31.869347,leaky_relu,128,0.4,0.98,0.95,0.0002446851702494702,0.9,5,16,big,PPO,COMPLETE
12,154.05880858578092,2022-09-09 08:18:23.629192,2022-09-09 16:26:21.129529,0 days 08:07:57.500337,leaky_relu,512,0.4,0.98,0.999,0.8321531028360879,0.9,20,64,big,PPO,COMPLETE
13,,2022-09-09 08:45:08.177224,2022-09-09 14:18:21.418883,0 days 05:33:13.241659,tanh,8,0.4,0.92,0.99,0.3854459890844627,5.0,1,1024,medium,PPO,FAIL
14,62.51372028948883,2022-09-09 10:37:42.707719,2022-09-09 21:02:37.808021,0 days 10:24:55.100302,tanh,512,0.4,0.98,0.9,0.011939903989631665,0.7,20,16,small,PPO,COMPLETE
15,-13.721431478969077,2022-09-09 14:51:31.800462,2022-09-10 00:51:46.463576,0 days 10:00:14.663114,elu,32,0.4,0.8,0.995,1.839349444822591e-05,1.0,10,8,medium,PPO,COMPLETE
16,,2022-09-09 15:11:52.747352,2022-09-09 15:54:23.059484,0 days 00:42:30.312132,relu,64,0.1,0.92,0.99,0.3023658913552414,0.8,20,16,small,PPO,FAIL
17,573.8304247646513,2022-09-09 15:31:26.147922,2022-09-09 22:56:01.090595,0 days 07:24:34.942673,relu,128,0.1,1.0,0.9,6.236898727773588e-05,0.6,20,256,small,PPO,COMPLETE
18,533.0057084421791,2022-09-09 15:45:38.755782,2022-09-09 23:12:19.546194,0 days 07:26:40.790412,tanh,64,0.2,0.92,0.95,0.00038476208934036586,0.7,5,2048,medium,PPO,COMPLETE
19,449.57834326515905,2022-09-09 16:26:21.189007,2022-09-10 00:24:06.701081,0 days 07:57:45.512074,tanh,32,0.2,0.98,0.99,8.957496349883265e-05,2.0,5,2048,medium,PPO,COMPLETE
20,207.39411884644915,2022-09-09 21:02:37.877666,2022-09-10 05:47:44.631619,0 days 08:45:06.753953,relu,64,0.1,1.0,0.999,2.5828009315016742e-05,0.8,20,128,small,PPO,COMPLETE
21,261.9072284149824,2022-09-09 22:56:01.145358,2022-09-10 06:55:17.170137,0 days 07:59:16.024779,relu,128,0.1,1.0,0.995,1.2894522242608522e-05,2.0,5,8,small,PPO,COMPLETE
22,484.92989093458436,2022-09-09 23:12:19.604621,2022-09-10 06:53:12.919963,0 days 07:40:53.315342,relu,128,0.1,0.92,0.9,1.1608264778538204e-05,0.6,20,1024,small,PPO,COMPLETE
23,574.3290591101421,2022-09-10 00:24:06.765555,2022-09-10 08:21:59.842714,0 days 07:57:53.077159,leaky_relu,128,0.2,1.0,0.9,3.256514743297318e-05,0.6,20,256,small,PPO,COMPLETE
24,447.4434227470125,2022-09-10 00:51:46.533949,2022-09-10 07:50:46.396220,0 days 06:58:59.862271,relu,128,0.4,1.0,0.9,3.6795794203603e-05,0.6,1,256,small,PPO,COMPLETE
