number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_cg_max_steps,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_critic_updates,params_n_steps,params_net_arch,user_attrs_Model,state
0,349.07344333943354,2022-09-09 00:37:03.766466,2022-09-09 07:13:33.833388,0 days 06:36:30.066922,leaky_relu,8,5,1.0,0.995,0.00011943865149550821,0.7,5,512,medium,TRPO,COMPLETE
1,568.0308511473087,2022-09-09 00:37:06.650517,2022-09-09 07:18:51.853075,0 days 06:41:45.202558,relu,16,10,0.98,0.9,0.15486652767794976,0.9,20,128,small,TRPO,COMPLETE
2,378.8531765509424,2022-09-09 00:37:09.733000,2022-09-09 07:01:58.987194,0 days 06:24:49.254194,relu,32,10,0.9,0.995,1.2064349043122849e-05,2.0,30,1024,small,TRPO,COMPLETE
3,365.1533295387824,2022-09-09 00:37:12.681530,2022-09-09 08:06:20.763379,0 days 07:29:08.081849,elu,8,25,0.95,0.9999,0.7191986150719567,0.5,5,2048,medium,TRPO,COMPLETE
4,218.58249996377975,2022-09-09 00:37:15.870172,2022-09-09 09:13:54.232867,0 days 08:36:38.362695,leaky_relu,128,30,0.99,0.99,6.052831617842822e-05,0.5,5,16,medium,TRPO,COMPLETE
5,440.03304927735815,2022-09-09 00:37:18.737852,2022-09-09 09:22:35.482696,0 days 08:45:16.744844,elu,32,10,0.9,0.99,0.27433245249020277,5.0,25,32,big,TRPO,COMPLETE
6,228.91474515455292,2022-09-09 00:37:21.774468,2022-09-09 06:45:00.145281,0 days 06:07:38.370813,relu,64,10,0.8,0.995,0.0023189960579218195,0.7,5,64,small,TRPO,COMPLETE
7,364.5256739483101,2022-09-09 00:37:24.806655,2022-09-09 08:32:15.236063,0 days 07:54:50.429408,relu,512,5,0.9,0.9,0.6007575056648595,0.6,25,16,small,TRPO,COMPLETE
8,424.81916932043976,2022-09-09 06:45:00.213607,2022-09-09 14:39:51.732226,0 days 07:54:51.518619,elu,256,10,0.9,0.9999,0.14429912166015207,5.0,20,64,big,TRPO,COMPLETE
9,439.105825360362,2022-09-09 07:01:59.044161,2022-09-09 14:35:15.254238,0 days 07:33:16.210077,relu,32,10,0.98,0.995,0.39406167570524486,0.6,25,512,medium,TRPO,COMPLETE
10,451.8710283440676,2022-09-09 07:13:33.899687,2022-09-09 20:33:43.006150,0 days 13:20:09.106463,tanh,64,30,0.8,0.9,0.12886621753102226,2.0,25,16,big,TRPO,COMPLETE
11,101.79597614634324,2022-09-09 07:18:51.917970,2022-09-09 16:35:36.073311,0 days 09:16:44.155341,elu,64,25,0.8,0.98,3.953046926705629e-05,1.0,5,8,small,TRPO,COMPLETE
12,240.0549625394849,2022-09-09 08:06:20.821857,2022-09-09 14:48:13.590983,0 days 06:41:52.769126,elu,128,10,1.0,0.999,0.02237275808561935,5.0,5,512,medium,TRPO,COMPLETE
13,242.9561273741453,2022-09-09 08:32:15.303555,2022-09-09 15:18:54.638821,0 days 06:46:39.335266,relu,32,20,1.0,0.995,0.004423592350576692,0.9,10,2048,medium,TRPO,COMPLETE
14,316.3110821783028,2022-09-09 09:13:54.293092,2022-09-09 16:03:03.780735,0 days 06:49:09.487643,leaky_relu,256,5,0.98,0.999,0.0007398080383554859,0.7,25,1024,medium,TRPO,COMPLETE
15,193.85883944058932,2022-09-09 09:22:35.544596,2022-09-09 19:12:35.978203,0 days 09:50:00.433607,leaky_relu,32,30,0.92,0.99,5.6737832501218883e-05,0.9,5,16,big,TRPO,COMPLETE
16,526.9310846596023,2022-09-09 14:35:15.322384,2022-09-09 21:17:05.085854,0 days 06:41:49.763470,relu,16,5,0.92,0.98,0.016450553533790824,0.9,5,64,small,TRPO,COMPLETE
17,562.3134098002045,2022-09-09 14:39:51.794561,2022-09-09 21:49:52.700741,0 days 07:10:00.906180,relu,16,10,0.98,0.95,0.014475962846701003,1.0,20,1024,small,TRPO,COMPLETE
18,311.3585485221969,2022-09-09 14:48:13.652908,2022-09-09 22:31:53.863395,0 days 07:43:40.210487,relu,16,10,0.98,0.9,0.00824446664774049,0.8,20,16,small,TRPO,COMPLETE
19,586.8258495382358,2022-09-09 15:18:54.700041,2022-09-09 22:21:10.777640,0 days 07:02:16.077599,relu,16,10,0.95,0.9,0.01615686641534305,2.0,20,128,small,TRPO,COMPLETE
20,586.7648504422967,2022-09-09 16:03:03.845101,2022-09-09 22:52:20.748198,0 days 06:49:16.903097,relu,128,5,0.98,0.9,0.035387085934258565,0.9,20,1024,big,TRPO,COMPLETE
21,177.1173466843164,2022-09-09 16:35:36.139446,2022-09-10 00:15:35.978108,0 days 07:39:59.838662,leaky_relu,32,10,0.9,0.99,0.9319396702682378,5.0,25,32,big,TRPO,COMPLETE
22,394.0834327492812,2022-09-09 19:12:36.038045,2022-09-10 03:45:33.263383,0 days 08:32:57.225338,elu,32,10,0.8,0.995,0.013404515305371227,0.3,25,32,big,TRPO,COMPLETE
23,494.28717821021553,2022-09-09 20:33:43.065317,2022-09-10 03:01:04.535551,0 days 06:27:21.470234,relu,64,30,1.0,0.9,0.07691526579247414,1.0,20,128,small,TRPO,COMPLETE
24,247.85670968749,2022-09-09 21:17:05.135322,2022-09-10 04:28:55.360500,0 days 07:11:50.225178,relu,512,5,0.92,0.98,0.015564098046389748,0.8,5,8,small,TRPO,COMPLETE
25,582.5435187800489,2022-09-09 21:49:52.757479,2022-09-10 04:10:50.013741,0 days 06:20:57.256262,tanh,32,10,0.98,0.995,0.11641394459661557,0.9,20,128,small,TRPO,COMPLETE
26,588.2609940191605,2022-09-09 22:21:10.837752,2022-09-10 05:21:54.842827,0 days 07:00:44.005075,tanh,16,5,0.95,0.9,0.1087708381038878,0.8,20,128,small,TRPO,COMPLETE
27,580.6230427252269,2022-09-09 22:31:53.921786,2022-09-10 05:08:09.700654,0 days 06:36:15.778868,relu,16,5,0.95,0.9,0.009455011016808826,2.0,20,128,small,TRPO,COMPLETE
